state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,buwtea,Blue-winged Teal,Spatula discors,0.14,0.02,0,0.02,breeding,06-14,0.1784,11 of 28,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,cacgoo1,Cackling Goose,Branta hutchinsii,0,3.55,3.58,1.32,prebreeding_migration,04-26,15.69,NA,Wetlands:  Tundra,Coasts:  Tundra
Washington,calgul,California Gull,Larus californicus,2.52,7.15,0.45,1.78,postbreeding_migration,09-13,12.36,3 of 14,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
Washington,calhum,Calliope Hummingbird,Selasphorus calliope,27.99,14.7,0,36.72,prebreeding_migration,05-03,49.21,1 of 8,Forests:  Temperate Western,NA
Washington,calqua,California Quail,Callipepla californica,7.2,7.2,7.2,7.2,resident,year round resident,NA,3 of 7,Aridlands:  Chaparral,NA
Washington,cangoo,Canada Goose,Branta canadensis,0.44,0.34,1.27,0.57,prebreeding_migration,02-01,1.727,26 of 49,Wetlands:  Generalist,NA
Washington,canvas,Canvasback,Aythya valisineria,0,0.25,0.88,0.18,nonbreeding,01-04,1.006,NA,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,canwre,Canyon Wren,Catherpes mexicanus,0.32,0.32,0.32,0.32,resident,year round resident,NA,10 of 14,Aridlands:  Desert Scrub,NA
Washington,casfin,Cassin's Finch,Haemorhous cassinii,7.84,4.53,0.67,6.8,breeding,08-30,10.84,6 of 12,Forests:  Temperate Western,NA
Washington,caster1,Caspian Tern,Hydroprogne caspia,6.16,2.68,0,4.86,prebreeding_migration,05-03,15.93,1 of 33,Wetlands:  Lakes and Rivers,NA
Washington,casvir,Cassin's Vireo,Vireo cassinii,8.5,3.97,0,6.57,prebreeding_migration,05-03,10.07,5 of 6,Forests:  Temperate Western,NA
Washington,cedwax,Cedar Waxwing,Bombycilla cedrorum,2.64,1.39,0.11,1.17,postbreeding_migration,09-20,2.977,4 of 41,Forests:  Temperate Generalist,NA
Washington,chbchi,Chestnut-backed Chickadee,Poecile rufescens,18.16,18.16,18.16,18.16,resident,year round resident,NA,1 of 6,Forests:  Temperate Western,NA
Washington,chispa,Chipping Sparrow,Spizella passerina,1.54,0.96,0,0.67,postbreeding_migration,08-09,2.454,12 of 48,Forests:  Temperate Generalist,NA
Washington,chukar,Chukar,Alectoris chukar,0.09,0.09,0.09,0.09,resident,year round resident,NA,6 of 7,Aridlands:  Desert Scrub,NA
Washington,cintea,Cinnamon Teal,Spatula cyanoptera,1.9,0.4,0,0.65,breeding,05-24,2.847,7 of 14,Wetlands:  Freshwater Marsh,NA
